ID,Title,Requester,Points,Priority,AcceptanceCriteria
US-01,Explorar cupcakes,Cliente,3,A,"Fotos, nome e preço; produtos ativos; carregar <2s"
US-02,Montar carrinho,Cliente,5,A,"Adicionar sem reload; subtotal atualizado; verificar estoque"
US-03,Escolher como pagar,Cliente,3,A,"Pix/cartão/boleto; confirmação antes de concluir; dados criptografados"
US-04,Criar conta & salvar endereço,Cliente,4,A,"Campos obrigatórios; email único; endereço salvo"
US-05,Login seguro,Cliente,3,A,"Autenticação correta; sessão segura; resposta <3s"
US-06,Logout,Cliente,1,A,"Token removido; retorno à tela inicial"
US-07,Gerenciar produtos (Admin),Admin,4,B,"Nome/imagem/descrição/preço obrigatórios; imagem <=2MB"
US-08,Acompanhar pedidos (Admin),Admin,4,B,"Lista com filtros; só admin autenticado"
US-09,Acompanhar entrega em tempo real,Cliente,3,B,"Status atualizados; notificações por mudança"
US-10,Histórico de pedidos,Cliente,3,C,"Lista ordenada por data; detalhes do pedido"
US-11,Cancelar pedido,Cliente,2,C,"Só até status 'em_preparo'; confirmação necessária"
US-12,Avaliar pedido,Cliente,1,D,"Só após entregue; comentário <=200 chars"
US-13,Promoções e destaques,Cliente,2,C,"Produtos em oferta destacados automaticamente"
US-14,Recuperar senha,Cliente,2,B,"Link por e-mail; token expira em 1h"
US-15,Atualizar endereço,Cliente,2,B,"Validação do novo endereço sem logout"
US-16,Integração Pagamento (API),Sist.,5,A,"Webhook para confirmação de pagamento"
US-17,Gestão de estoque,Admin,3,A,"Controle de quantidade; alerta estoque baixo"
US-18,Logs e auditoria de pedidos,Operação,2,B,"Registros de mudanças com timestamp e user_id"
US-19,Segurança e LGPD,Sist.,3,A,"Criptografia, consentimento e retenção mínima de dados"
US-20,Dashboard de vendas (Admin),Admin,5,B,"KPIs: vendas diárias, produtos mais vendidos"
